,Values(Km^2),date
824,5898.75,2012-04-08
825,4011.25,2012-04-09
826,6781.25,2012-04-10
827,4145.75,2012-04-11
828,0.0,2012-04-12
829,2949.5,2012-04-13
830,2371.0,2012-04-14
831,7.25,2012-04-15
832,3339.25,2012-04-16
833,1309.5,2012-04-17
834,3393.5,2012-04-18
835,5508.5,2012-04-19
836,3197.0,2012-04-20
837,3280.0,2012-04-21
838,6784.75,2012-04-22
839,6784.75,2012-04-23
840,6781.25,2012-04-24
841,6783.25,2012-04-25
842,6775.5,2012-04-26
843,6662.25,2012-04-27
844,5708.5,2012-04-28
845,6668.5,2012-04-29
846,6780.0,2012-04-30
847,5524.75,2012-05-01
848,11.5,2012-05-02
849,5919.75,2012-05-03
850,3563.5,2012-05-04
851,6543.25,2012-05-05
852,6432.25,2012-05-06
853,6756.5,2012-05-07
854,5988.25,2012-05-08
855,6762.5,2012-05-09
856,4836.25,2012-05-10
857,6442.75,2012-05-11
858,6782.5,2012-05-12
859,5222.5,2012-05-13
860,6027.25,2012-05-14
861,5671.0,2012-05-15
862,6785.0,2012-05-16
863,6497.25,2012-05-17
864,6785.0,2012-05-18
865,6774.5,2012-05-19
866,6112.0,2012-05-20
867,6774.25,2012-05-21
868,506.25,2012-05-22
869,1996.5,2012-05-23
870,5289.75,2012-05-24
871,3178.25,2012-05-25
872,4819.0,2012-05-26
873,6629.75,2012-05-27
874,600.75,2012-05-28
875,6774.75,2012-05-29
876,6018.25,2012-05-30
877,6745.5,2012-05-31
878,6785.0,2012-06-01
879,6777.0,2012-06-02
880,6784.5,2012-06-03
881,6784.0,2012-06-04
882,6785.0,2012-06-05
883,6784.25,2012-06-06
884,6785.0,2012-06-07
885,6785.0,2012-06-08
886,6785.0,2012-06-09
887,6785.0,2012-06-10
888,6785.0,2012-06-11
889,6785.0,2012-06-12
890,6554.0,2012-06-13
891,6564.5,2012-06-14
892,6777.5,2012-06-15
893,4668.0,2012-06-16
894,6784.5,2012-06-17
895,6782.0,2012-06-18
896,3537.0,2012-06-19
897,6718.25,2012-06-20
898,42.25,2012-06-21
899,6607.5,2012-06-22
900,3771.5,2012-06-23
901,6784.25,2012-06-24
902,6777.5,2012-06-25
903,6781.75,2012-06-26
904,6739.75,2012-06-27
905,6432.5,2012-06-28
906,6192.5,2012-06-29
907,6785.0,2012-06-30
908,6785.0,2012-07-01
909,6785.0,2012-07-02
910,6785.0,2012-07-03
911,6785.0,2012-07-04
912,6769.0,2012-07-05
913,6785.0,2012-07-06
914,6785.0,2012-07-07
915,6784.5,2012-07-08
916,3450.75,2012-07-09
917,6782.75,2012-07-10
918,6785.0,2012-07-11
919,6785.0,2012-07-12
920,6784.75,2012-07-13
921,6780.75,2012-07-14
922,6784.0,2012-07-15
923,2425.75,2012-07-16
924,6227.0,2012-07-17
925,6208.25,2012-07-18
926,6749.5,2012-07-19
927,6778.0,2012-07-20
928,6785.0,2012-07-21
929,6783.75,2012-07-22
930,6768.25,2012-07-23
931,6785.0,2012-07-24
932,6785.0,2012-07-25
933,6785.0,2012-07-26
934,5071.75,2012-07-27
935,6346.0,2012-07-28
936,3423.0,2012-07-29
937,5230.5,2012-07-30
938,6430.5,2012-07-31
939,6775.5,2012-08-01
940,6784.5,2012-08-02
941,6785.0,2012-08-03
942,6785.0,2012-08-04
943,6785.0,2012-08-05
944,6781.25,2012-08-06
945,6785.0,2012-08-07
946,6784.5,2012-08-08
947,6785.0,2012-08-09
948,6785.0,2012-08-10
949,6785.0,2012-08-11
950,6785.0,2012-08-12
951,6785.0,2012-08-13
952,6785.0,2012-08-14
953,6785.0,2012-08-15
954,6784.75,2012-08-16
955,6620.75,2012-08-17
956,6785.0,2012-08-18
957,6785.0,2012-08-19
958,6785.0,2012-08-20
959,6785.0,2012-08-21
960,6785.0,2012-08-22
961,6785.0,2012-08-23
962,6661.0,2012-08-24
963,6785.0,2012-08-25
964,6764.75,2012-08-26
965,6783.25,2012-08-27
966,5091.0,2012-08-28
967,6778.5,2012-08-29
968,6785.0,2012-08-30
969,6681.25,2012-08-31
970,6785.0,2012-09-01
971,6782.5,2012-09-02
972,6778.0,2012-09-03
973,6684.0,2012-09-04
974,6785.0,2012-09-05
975,6785.0,2012-09-06
976,6785.0,2012-09-07
977,6785.0,2012-09-08
978,6785.0,2012-09-09
979,6746.25,2012-09-10
980,6611.25,2012-09-11
981,6785.0,2012-09-12
982,6785.0,2012-09-13
983,6785.0,2012-09-14
984,6785.0,2012-09-15
985,6753.25,2012-09-16
986,6785.0,2012-09-17
987,6784.75,2012-09-18
988,6785.0,2012-09-19
989,6785.0,2012-09-20
990,6785.0,2012-09-21
991,6785.0,2012-09-22
992,6785.0,2012-09-23
993,6785.0,2012-09-24
994,6777.75,2012-09-25
995,6776.75,2012-09-26
996,6784.75,2012-09-27
997,6785.0,2012-09-28
998,6781.25,2012-09-29
999,6785.0,2012-09-30
1000,6785.0,2012-10-01
1001,6785.0,2012-10-02
1002,3685.0,2012-10-03
1003,6783.75,2012-10-04
1004,6619.25,2012-10-05
1005,1371.0,2012-10-06
